Enumerating all non-terminal states for value-error benchmarking...
  4520 states enumerated.
Run 'base': iterations=300, temperature_moves=4, noise_frac=0.25
iter   32/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.1634, policy_loss=0.9694, value_error_vs_solver=0.6921 (X=0.6225, O=0.8333), elapsed=2.5s
iter   33/300: games={'X': 5, 'O': 1, 'draw': 14}, buffer=4000, value_loss=0.1604, policy_loss=0.9577, value_error_vs_solver=0.7278 (X=0.6241, O=0.7759), elapsed=2.4s
iter   34/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.1510, policy_loss=0.9469, value_error_vs_solver=0.6651 (X=0.6498, O=0.7402), elapsed=2.3s
iter   35/300: games={'X': 5, 'O': 0, 'draw': 15}, buffer=4000, value_loss=0.1560, policy_loss=0.9302, value_error_vs_solver=0.6751 (X=0.6790, O=0.6747), elapsed=3.4s
iter   36/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.1471, policy_loss=0.8962, value_error_vs_solver=0.6649 (X=0.6506, O=0.7207), elapsed=2.9s
iter   37/300: games={'X': 3, 'O': 1, 'draw': 16}, buffer=4000, value_loss=0.1478, policy_loss=0.8901, value_error_vs_solver=0.7291 (X=0.6169, O=0.7788), elapsed=2.6s
iter   38/300: games={'X': 5, 'O': 0, 'draw': 15}, buffer=4000, value_loss=0.1411, policy_loss=0.8876, value_error_vs_solver=0.6477 (X=0.6164, O=0.7872), elapsed=2.5s
iter   39/300: games={'X': 6, 'O': 0, 'draw': 14}, buffer=4000, value_loss=0.1428, policy_loss=0.8766, value_error_vs_solver=0.6718 (X=0.5885, O=0.6763), elapsed=2.4s
iter   40/300: games={'X': 5, 'O': 1, 'draw': 14}, buffer=4000, value_loss=0.1434, policy_loss=0.8620, value_error_vs_solver=0.6212 (X=0.6250, O=0.7334), elapsed=2.5s
iter   41/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.1409, policy_loss=0.8384, value_error_vs_solver=0.6416 (X=0.6343, O=0.7764), elapsed=2.3s
iter   42/300: games={'X': 5, 'O': 1, 'draw': 14}, buffer=4000, value_loss=0.1327, policy_loss=0.8326, value_error_vs_solver=0.6235 (X=0.6359, O=0.7102), elapsed=2.1s
iter   43/300: games={'X': 1, 'O': 1, 'draw': 18}, buffer=4000, value_loss=0.1380, policy_loss=0.8223, value_error_vs_solver=0.6378 (X=0.6398, O=0.7179), elapsed=2.4s
iter   44/300: games={'X': 3, 'O': 1, 'draw': 16}, buffer=4000, value_loss=0.1281, policy_loss=0.8037, value_error_vs_solver=0.6471 (X=0.6286, O=0.7357), elapsed=2.6s
iter   45/300: games={'X': 6, 'O': 0, 'draw': 14}, buffer=4000, value_loss=0.1237, policy_loss=0.7975, value_error_vs_solver=0.6995 (X=0.5960, O=0.6533), elapsed=2.4s
iter   46/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.1270, policy_loss=0.7874, value_error_vs_solver=0.6441 (X=0.6533, O=0.6759), elapsed=3.1s
iter   47/300: games={'X': 7, 'O': 0, 'draw': 13}, buffer=4000, value_loss=0.1255, policy_loss=0.7782, value_error_vs_solver=0.6532 (X=0.5902, O=0.7053), elapsed=3.0s
iter   48/300: games={'X': 6, 'O': 0, 'draw': 14}, buffer=4000, value_loss=0.1245, policy_loss=0.7675, value_error_vs_solver=0.6497 (X=0.6907, O=0.7095), elapsed=3.3s
iter   49/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.1183, policy_loss=0.7636, value_error_vs_solver=0.6743 (X=0.6208, O=0.6847), elapsed=2.7s
iter   50/300: games={'X': 5, 'O': 1, 'draw': 14}, buffer=4000, value_loss=0.1194, policy_loss=0.7502, value_error_vs_solver=0.6607 (X=0.6207, O=0.6965), elapsed=2.9s
iter   51/300: games={'X': 0, 'O': 1, 'draw': 19}, buffer=4000, value_loss=0.1165, policy_loss=0.7445, value_error_vs_solver=0.6260 (X=0.5856, O=0.7063), elapsed=2.5s
iter   52/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.1203, policy_loss=0.7461, value_error_vs_solver=0.6394 (X=0.6385, O=0.7145), elapsed=2.7s
iter   53/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.1187, policy_loss=0.7440, value_error_vs_solver=0.6766 (X=0.6448, O=0.7127), elapsed=2.6s
iter   54/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.1079, policy_loss=0.7240, value_error_vs_solver=0.7077 (X=0.6503, O=0.7110), elapsed=2.3s
iter   55/300: games={'X': 5, 'O': 1, 'draw': 14}, buffer=4000, value_loss=0.1111, policy_loss=0.7366, value_error_vs_solver=0.6615 (X=0.5850, O=0.7011), elapsed=2.6s
iter   56/300: games={'X': 5, 'O': 0, 'draw': 15}, buffer=4000, value_loss=0.1084, policy_loss=0.7315, value_error_vs_solver=0.6190 (X=0.5508, O=0.6827), elapsed=3.2s
iter   57/300: games={'X': 3, 'O': 1, 'draw': 16}, buffer=4000, value_loss=0.1136, policy_loss=0.7364, value_error_vs_solver=0.6304 (X=0.6169, O=0.7254), elapsed=2.7s
iter   58/300: games={'X': 4, 'O': 0, 'draw': 16}, buffer=4000, value_loss=0.1143, policy_loss=0.7255, value_error_vs_solver=0.6839 (X=0.6651, O=0.7476), elapsed=2.6s
iter   59/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.1117, policy_loss=0.7212, value_error_vs_solver=0.6558 (X=0.5803, O=0.7143), elapsed=2.5s
iter   60/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.1130, policy_loss=0.7250, value_error_vs_solver=0.6214 (X=0.5563, O=0.6772), elapsed=2.9s
iter   61/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.1099, policy_loss=0.7108, value_error_vs_solver=0.6366 (X=0.6153, O=0.6402), elapsed=2.8s
iter   62/300: games={'X': 5, 'O': 0, 'draw': 15}, buffer=4000, value_loss=0.1070, policy_loss=0.7148, value_error_vs_solver=0.6530 (X=0.6196, O=0.6116), elapsed=2.5s
iter   63/300: games={'X': 2, 'O': 1, 'draw': 17}, buffer=4000, value_loss=0.1041, policy_loss=0.7137, value_error_vs_solver=0.6335 (X=0.5926, O=0.6569), elapsed=2.7s
iter   64/300: games={'X': 6, 'O': 0, 'draw': 14}, buffer=4000, value_loss=0.1052, policy_loss=0.6831, value_error_vs_solver=0.6177 (X=0.5689, O=0.6344), elapsed=2.8s
iter   65/300: games={'X': 0, 'O': 0, 'draw': 20}, buffer=4000, value_loss=0.0992, policy_loss=0.6953, value_error_vs_solver=0.6067 (X=0.6485, O=0.6231), elapsed=2.6s
iter   66/300: games={'X': 2, 'O': 0, 'draw': 18}, buffer=4000, value_loss=0.0962, policy_loss=0.6933, value_error_vs_solver=0.6340 (X=0.6513, O=0.6518), elapsed=2.2s
iter   67/300: games={'X': 3, 'O': 0, 'draw': 17}, buffer=4000, value_loss=0.0911, policy_loss=0.6920, value_error_vs_solver=0.6377 (X=0.6325, O=0.6388), elapsed=2.4s
