Loading solver states for value-error benchmarking...
Run 'catchup': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   25/300: games={'X': 9, 'O': 6, 'draw': 5}, buffer_x=2744, buffer_o=2444, x_frozen=False, gap=-0.0399, value_loss_o=0.4544, policy_loss_o=1.0834, value_error_vs_solver=0.6584 (X=0.6783, O=0.6384), elapsed=9.4s
iter   26/300: games={'X': 9, 'O': 7, 'draw': 4}, buffer_x=2880, buffer_o=2571, x_frozen=False, gap=-0.0623, value_loss_o=0.4440, policy_loss_o=1.0677, value_error_vs_solver=0.6731 (X=0.7042, O=0.6419), elapsed=10.5s
iter   27/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer_x=3000, buffer_o=2677, x_frozen=False, gap=-0.0032, value_loss_o=0.4300, policy_loss_o=1.0491, value_error_vs_solver=0.6415 (X=0.6432, O=0.6399), elapsed=8.7s
iter   28/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer_x=3124, buffer_o=2788, x_frozen=False, gap=-0.0441, value_loss_o=0.4135, policy_loss_o=1.0322, value_error_vs_solver=0.6340 (X=0.6560, O=0.6119), elapsed=9.1s
iter   29/300: games={'X': 7, 'O': 2, 'draw': 11}, buffer_x=3293, buffer_o=2946, x_frozen=False, gap=-0.0551, value_loss_o=0.4069, policy_loss_o=0.9937, value_error_vs_solver=0.6570 (X=0.6846, O=0.6295), elapsed=12.7s
iter   30/300: games={'X': 8, 'O': 0, 'draw': 12}, buffer_x=3455, buffer_o=3099, x_frozen=False, gap=-0.1063, value_loss_o=0.3785, policy_loss_o=0.9751, value_error_vs_solver=0.6301 (X=0.6833, O=0.5770), elapsed=11.4s
iter   31/300: games={'X': 11, 'O': 4, 'draw': 5}, buffer_x=3578, buffer_o=3209, x_frozen=False, gap=-0.0973, value_loss_o=0.3703, policy_loss_o=0.9596, value_error_vs_solver=0.6427 (X=0.6913, O=0.5941), elapsed=8.3s
iter   32/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer_x=3681, buffer_o=3295, x_frozen=False, gap=-0.0720, value_loss_o=0.3600, policy_loss_o=0.9525, value_error_vs_solver=0.6058 (X=0.6419, O=0.5698), elapsed=6.9s
iter   33/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer_x=3794, buffer_o=3393, x_frozen=False, gap=-0.0107, value_loss_o=0.3720, policy_loss_o=0.9569, value_error_vs_solver=0.6658 (X=0.6712, O=0.6604), elapsed=8.4s
iter   34/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer_x=3907, buffer_o=3489, x_frozen=False, gap=-0.0878, value_loss_o=0.3535, policy_loss_o=0.9399, value_error_vs_solver=0.6449 (X=0.6888, O=0.6010), elapsed=7.6s
iter   35/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=3989, buffer_o=3553, x_frozen=False, gap=-0.1142, value_loss_o=0.3409, policy_loss_o=0.9390, value_error_vs_solver=0.6581 (X=0.7152, O=0.6009), elapsed=4.4s
iter   36/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer_x=4067, buffer_o=3614, x_frozen=False, gap=0.0077, value_loss_o=0.3355, policy_loss_o=0.9383, value_error_vs_solver=0.5935 (X=0.5897, O=0.5973), elapsed=4.5s
iter   37/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer_x=4172, buffer_o=3702, x_frozen=False, gap=-0.1206, value_loss_o=0.3329, policy_loss_o=0.9396, value_error_vs_solver=0.6372 (X=0.6975, O=0.5769), elapsed=6.3s
iter   38/300: games={'X': 11, 'O': 7, 'draw': 2}, buffer_x=4264, buffer_o=3783, x_frozen=False, gap=-0.0771, value_loss_o=0.3335, policy_loss_o=0.9402, value_error_vs_solver=0.5864 (X=0.6250, O=0.5479), elapsed=5.9s
