Loading solver states for value-error benchmarking...
iter   33/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=7185, value_loss=0.2281, policy_loss=0.8122, value_error_vs_solver=0.5312 (X=0.5556, O=0.5260), elapsed=2.4s
iter   34/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=7338, value_loss=0.2222, policy_loss=0.7963, value_error_vs_solver=0.5473 (X=0.5177, O=0.5153), elapsed=2.2s
iter   35/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=7474, value_loss=0.2156, policy_loss=0.7902, value_error_vs_solver=0.5686 (X=0.5819, O=0.5638), elapsed=2.1s
iter   36/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=7643, value_loss=0.2117, policy_loss=0.7788, value_error_vs_solver=0.5439 (X=0.6032, O=0.5123), elapsed=3.0s
iter   37/300: games={'X': 16, 'O': 3, 'draw': 1}, buffer=7807, value_loss=0.2208, policy_loss=0.7791, value_error_vs_solver=0.5382 (X=0.5254, O=0.5869), elapsed=2.4s
iter   38/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=7979, value_loss=0.2176, policy_loss=0.7758, value_error_vs_solver=0.5832 (X=0.4916, O=0.5020), elapsed=2.3s
iter   39/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.2099, policy_loss=0.7547, value_error_vs_solver=0.5595 (X=0.5563, O=0.6615), elapsed=1.7s
iter   40/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.2102, policy_loss=0.7354, value_error_vs_solver=0.5490 (X=0.5889, O=0.5740), elapsed=2.5s
iter   41/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1981, policy_loss=0.7191, value_error_vs_solver=0.5593 (X=0.5907, O=0.5906), elapsed=2.1s
iter   42/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1889, policy_loss=0.7121, value_error_vs_solver=0.5885 (X=0.6050, O=0.5822), elapsed=2.3s
iter   43/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1875, policy_loss=0.7063, value_error_vs_solver=0.5076 (X=0.5904, O=0.4761), elapsed=1.7s
iter   44/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1800, policy_loss=0.6944, value_error_vs_solver=0.5679 (X=0.5672, O=0.4568), elapsed=2.0s
iter   45/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.1898, policy_loss=0.6814, value_error_vs_solver=0.5421 (X=0.5608, O=0.5442), elapsed=1.8s
iter   46/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.1867, policy_loss=0.6650, value_error_vs_solver=0.5983 (X=0.5331, O=0.5363), elapsed=3.0s
iter   47/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1814, policy_loss=0.6571, value_error_vs_solver=0.5976 (X=0.5449, O=0.5424), elapsed=2.0s
iter   48/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1719, policy_loss=0.6466, value_error_vs_solver=0.5348 (X=0.6085, O=0.5231), elapsed=1.6s
iter   49/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.1727, policy_loss=0.6336, value_error_vs_solver=0.4766 (X=0.5622, O=0.5831), elapsed=2.3s
iter   50/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1588, policy_loss=0.6158, value_error_vs_solver=0.5725 (X=0.5373, O=0.5924), elapsed=2.0s
iter   51/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1513, policy_loss=0.6001, value_error_vs_solver=0.5374 (X=0.5309, O=0.5876), elapsed=2.5s
iter   52/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.1399, policy_loss=0.6018, value_error_vs_solver=0.5055 (X=0.4792, O=0.4842), elapsed=2.5s
iter   53/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1408, policy_loss=0.5945, value_error_vs_solver=0.5165 (X=0.5172, O=0.5420), elapsed=1.8s
iter   54/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1357, policy_loss=0.5897, value_error_vs_solver=0.5155 (X=0.5461, O=0.5288), elapsed=2.1s
iter   55/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.1325, policy_loss=0.5825, value_error_vs_solver=0.6024 (X=0.5315, O=0.5296), elapsed=4.0s
iter   56/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.1232, policy_loss=0.5708, value_error_vs_solver=0.5384 (X=0.5685, O=0.4736), elapsed=4.3s
iter   57/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1243, policy_loss=0.5657, value_error_vs_solver=0.5346 (X=0.5557, O=0.5368), elapsed=3.7s
iter   58/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1213, policy_loss=0.5524, value_error_vs_solver=0.5833 (X=0.5294, O=0.5089), elapsed=3.4s
iter   59/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer=8000, value_loss=0.1114, policy_loss=0.5454, value_error_vs_solver=0.5885 (X=0.5244, O=0.4922), elapsed=4.2s
iter   60/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1166, policy_loss=0.5400, value_error_vs_solver=0.5334 (X=0.5185, O=0.5866), elapsed=3.0s
iter   61/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1142, policy_loss=0.5407, value_error_vs_solver=0.5729 (X=0.5371, O=0.5727), elapsed=2.8s
iter   62/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1076, policy_loss=0.5367, value_error_vs_solver=0.5611 (X=0.4499, O=0.5155), elapsed=3.6s
iter   63/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.1060, policy_loss=0.5282, value_error_vs_solver=0.5289 (X=0.5891, O=0.5139), elapsed=4.5s
iter   64/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.0981, policy_loss=0.5301, value_error_vs_solver=0.5717 (X=0.5379, O=0.5406), elapsed=3.8s
iter   65/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0962, policy_loss=0.5195, value_error_vs_solver=0.5457 (X=0.4610, O=0.5405), elapsed=4.5s
iter   66/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0931, policy_loss=0.5184, value_error_vs_solver=0.5639 (X=0.5368, O=0.5238), elapsed=3.3s
iter   67/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0848, policy_loss=0.5124, value_error_vs_solver=0.5985 (X=0.5711, O=0.5374), elapsed=3.6s
iter   68/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0828, policy_loss=0.5115, value_error_vs_solver=0.5543 (X=0.5377, O=0.5295), elapsed=3.5s
iter   69/300: games={'X': 14, 'O': 0, 'draw': 6}, buffer=8000, value_loss=0.0769, policy_loss=0.5060, value_error_vs_solver=0.6182 (X=0.5647, O=0.4877), elapsed=4.4s
iter   70/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0772, policy_loss=0.5079, value_error_vs_solver=0.5681 (X=0.6499, O=0.5207), elapsed=2.9s
iter   71/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.0820, policy_loss=0.4929, value_error_vs_solver=0.5053 (X=0.5659, O=0.5358), elapsed=3.3s
iter   72/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0804, policy_loss=0.4923, value_error_vs_solver=0.5440 (X=0.4392, O=0.4911), elapsed=5.6s
iter   73/300: games={'X': 13, 'O': 1, 'draw': 6}, buffer=8000, value_loss=0.0811, policy_loss=0.4912, value_error_vs_solver=0.5270 (X=0.5989, O=0.5351), elapsed=5.1s
iter   74/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0824, policy_loss=0.4841, value_error_vs_solver=0.5555 (X=0.4951, O=0.5545), elapsed=3.2s
iter   75/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0813, policy_loss=0.4872, value_error_vs_solver=0.5371 (X=0.5335, O=0.5298), elapsed=3.5s
iter   76/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0803, policy_loss=0.4872, value_error_vs_solver=0.5752 (X=0.5209, O=0.5239), elapsed=4.5s
iter   77/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer=8000, value_loss=0.0849, policy_loss=0.4800, value_error_vs_solver=0.5280 (X=0.5141, O=0.5165), elapsed=3.5s
iter   78/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.0839, policy_loss=0.4787, value_error_vs_solver=0.5462 (X=0.4650, O=0.5289), elapsed=3.8s
iter   79/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer=8000, value_loss=0.0826, policy_loss=0.4700, value_error_vs_solver=0.5761 (X=0.5070, O=0.5303), elapsed=4.2s
iter   80/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0785, policy_loss=0.4714, value_error_vs_solver=0.6115 (X=0.5489, O=0.5461), elapsed=3.6s
iter   81/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.0868, policy_loss=0.4624, value_error_vs_solver=0.5259 (X=0.5337, O=0.5482), elapsed=3.3s
iter   82/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0954, policy_loss=0.4681, value_error_vs_solver=0.5921 (X=0.5137, O=0.4625), elapsed=3.2s
iter   83/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0886, policy_loss=0.4603, value_error_vs_solver=0.5603 (X=0.5066, O=0.5422), elapsed=2.8s
iter   84/300: games={'X': 11, 'O': 1, 'draw': 8}, buffer=8000, value_loss=0.0896, policy_loss=0.4588, value_error_vs_solver=0.5766 (X=0.5657, O=0.5519), elapsed=7.6s
iter   85/300: games={'X': 14, 'O': 2, 'draw': 4}, buffer=8000, value_loss=0.0882, policy_loss=0.4450, value_error_vs_solver=0.5330 (X=0.5807, O=0.5410), elapsed=6.2s
iter   86/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=8000, value_loss=0.0950, policy_loss=0.4404, value_error_vs_solver=0.5423 (X=0.5582, O=0.5717), elapsed=5.0s
iter   87/300: games={'X': 13, 'O': 1, 'draw': 6}, buffer=8000, value_loss=0.0876, policy_loss=0.4364, value_error_vs_solver=0.5491 (X=0.5093, O=0.5253), elapsed=5.2s
iter   88/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.0914, policy_loss=0.4263, value_error_vs_solver=0.5514 (X=0.6081, O=0.4716), elapsed=4.5s
iter   89/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.0932, policy_loss=0.4254, value_error_vs_solver=0.5411 (X=0.5689, O=0.5528), elapsed=4.1s
iter   90/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer=8000, value_loss=0.0878, policy_loss=0.4175, value_error_vs_solver=0.5336 (X=0.5231, O=0.5951), elapsed=3.8s
iter   91/300: games={'X': 14, 'O': 0, 'draw': 6}, buffer=8000, value_loss=0.0916, policy_loss=0.4157, value_error_vs_solver=0.5344 (X=0.5842, O=0.4840), elapsed=4.4s
iter   92/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0844, policy_loss=0.3979, value_error_vs_solver=0.5591 (X=0.6588, O=0.5822), elapsed=4.6s
iter   93/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0824, policy_loss=0.4060, value_error_vs_solver=0.5088 (X=0.6004, O=0.5593), elapsed=3.7s
iter   94/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.0788, policy_loss=0.3993, value_error_vs_solver=0.5078 (X=0.5778, O=0.4407), elapsed=3.9s
iter   95/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer=8000, value_loss=0.0794, policy_loss=0.3924, value_error_vs_solver=0.4893 (X=0.5925, O=0.5778), elapsed=5.6s
iter   96/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=8000, value_loss=0.0823, policy_loss=0.3925, value_error_vs_solver=0.5380 (X=0.5247, O=0.5545), elapsed=4.3s
iter   97/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=8000, value_loss=0.0762, policy_loss=0.3853, value_error_vs_solver=0.5158 (X=0.5040, O=0.5369), elapsed=3.5s
iter   98/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0789, policy_loss=0.3875, value_error_vs_solver=0.5507 (X=0.5770, O=0.5477), elapsed=3.8s
iter   99/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.0839, policy_loss=0.3885, value_error_vs_solver=0.5366 (X=0.5000, O=0.5316), elapsed=3.3s
iter  100/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0783, policy_loss=0.3879, value_error_vs_solver=0.5449 (X=0.5375, O=0.5290), elapsed=3.4s
iter  101/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.0895, policy_loss=0.3912, value_error_vs_solver=0.5605 (X=0.5269, O=0.5824), elapsed=3.2s
iter  102/300: games={'X': 9, 'O': 2, 'draw': 9}, buffer=8000, value_loss=0.0838, policy_loss=0.3853, value_error_vs_solver=0.5309 (X=0.5277, O=0.4922), elapsed=5.4s
iter  103/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0889, policy_loss=0.3757, value_error_vs_solver=0.5762 (X=0.5514, O=0.5678), elapsed=3.9s
iter  104/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.0900, policy_loss=0.3830, value_error_vs_solver=0.4997 (X=0.5724, O=0.4598), elapsed=4.2s
iter  105/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0838, policy_loss=0.3677, value_error_vs_solver=0.5813 (X=0.5460, O=0.6267), elapsed=3.2s
iter  106/300: games={'X': 12, 'O': 0, 'draw': 8}, buffer=8000, value_loss=0.0881, policy_loss=0.3710, value_error_vs_solver=0.4905 (X=0.5725, O=0.4954), elapsed=4.3s
iter  107/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0897, policy_loss=0.3689, value_error_vs_solver=0.5337 (X=0.5870, O=0.5270), elapsed=3.3s
iter  108/300: games={'X': 11, 'O': 3, 'draw': 6}, buffer=8000, value_loss=0.0915, policy_loss=0.3566, value_error_vs_solver=0.4824 (X=0.5185, O=0.5278), elapsed=3.7s
iter  109/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.0908, policy_loss=0.3622, value_error_vs_solver=0.5112 (X=0.5083, O=0.5079), elapsed=3.0s
iter  110/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0892, policy_loss=0.3613, value_error_vs_solver=0.5298 (X=0.6206, O=0.4835), elapsed=3.4s
iter  111/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer=8000, value_loss=0.0888, policy_loss=0.3485, value_error_vs_solver=0.5625 (X=0.5820, O=0.5316), elapsed=6.0s
iter  112/300: games={'X': 9, 'O': 2, 'draw': 9}, buffer=8000, value_loss=0.0929, policy_loss=0.3488, value_error_vs_solver=0.4842 (X=0.5547, O=0.5563), elapsed=6.7s
iter  113/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.0883, policy_loss=0.3476, value_error_vs_solver=0.5181 (X=0.5223, O=0.4752), elapsed=5.2s
iter  114/300: games={'X': 11, 'O': 1, 'draw': 8}, buffer=8000, value_loss=0.0937, policy_loss=0.3420, value_error_vs_solver=0.5512 (X=0.6237, O=0.4951), elapsed=6.3s
iter  115/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer=8000, value_loss=0.0832, policy_loss=0.3311, value_error_vs_solver=0.5901 (X=0.5155, O=0.5301), elapsed=6.6s
iter  116/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer=8000, value_loss=0.0950, policy_loss=0.3290, value_error_vs_solver=0.5528 (X=0.5524, O=0.5506), elapsed=5.6s
iter  117/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0884, policy_loss=0.3236, value_error_vs_solver=0.5221 (X=0.5644, O=0.4438), elapsed=5.6s
iter  118/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer=8000, value_loss=0.0828, policy_loss=0.3224, value_error_vs_solver=0.5651 (X=0.5818, O=0.5092), elapsed=6.4s
iter  119/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer=8000, value_loss=0.0835, policy_loss=0.3129, value_error_vs_solver=0.5322 (X=0.5702, O=0.4977), elapsed=5.4s
iter  120/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=8000, value_loss=0.0789, policy_loss=0.3192, value_error_vs_solver=0.5772 (X=0.5847, O=0.4660), elapsed=5.8s
iter  121/300: games={'X': 9, 'O': 1, 'draw': 10}, buffer=8000, value_loss=0.0794, policy_loss=0.3160, value_error_vs_solver=0.5557 (X=0.5711, O=0.5006), elapsed=6.0s
iter  122/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.0779, policy_loss=0.3195, value_error_vs_solver=0.4860 (X=0.5375, O=0.4659), elapsed=4.7s
