Loading solver states for value-error benchmarking...
Run 'imitate': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=2, extra_iterations_side=None, imitate_teacher_policy=True
iter   32/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=6662, value_loss=0.2192, policy_loss=0.3277, value_error_vs_solver=0.6560 (X=0.6880, O=0.6362), elapsed=9.3s
iter   33/300: games={'X': 13, 'O': 4, 'draw': 3}, buffer=6822, value_loss=0.2210, policy_loss=0.3256, value_error_vs_solver=0.5781 (X=0.6645, O=0.5866), elapsed=6.9s
iter   34/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer=6985, value_loss=0.2131, policy_loss=0.3223, value_error_vs_solver=0.5879 (X=0.6039, O=0.6424), elapsed=6.9s
iter   35/300: games={'X': 14, 'O': 2, 'draw': 4}, buffer=7163, value_loss=0.2100, policy_loss=0.3201, value_error_vs_solver=0.5613 (X=0.5477, O=0.5786), elapsed=7.6s
iter   36/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer=7338, value_loss=0.2099, policy_loss=0.3170, value_error_vs_solver=0.5686 (X=0.5778, O=0.5649), elapsed=7.9s
iter   37/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=7488, value_loss=0.2056, policy_loss=0.3139, value_error_vs_solver=0.6073 (X=0.6647, O=0.5673), elapsed=6.1s
iter   38/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=7638, value_loss=0.2046, policy_loss=0.3124, value_error_vs_solver=0.6113 (X=0.5675, O=0.6107), elapsed=7.4s
iter   39/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer=7809, value_loss=0.2107, policy_loss=0.3135, value_error_vs_solver=0.5692 (X=0.5986, O=0.5483), elapsed=10.5s
iter   40/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer=7964, value_loss=0.2057, policy_loss=0.3130, value_error_vs_solver=0.5157 (X=0.5232, O=0.5426), elapsed=8.5s
iter   41/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.1957, policy_loss=0.3069, value_error_vs_solver=0.5392 (X=0.5762, O=0.5269), elapsed=6.7s
iter   42/300: games={'X': 10, 'O': 4, 'draw': 6}, buffer=8000, value_loss=0.2032, policy_loss=0.2995, value_error_vs_solver=0.5766 (X=0.6689, O=0.5510), elapsed=10.7s
iter   43/300: games={'X': 13, 'O': 2, 'draw': 5}, buffer=8000, value_loss=0.2029, policy_loss=0.2918, value_error_vs_solver=0.5658 (X=0.5668, O=0.4957), elapsed=6.8s
iter   44/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1975, policy_loss=0.2852, value_error_vs_solver=0.5529 (X=0.5287, O=0.5832), elapsed=4.5s
iter   45/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.1857, policy_loss=0.2769, value_error_vs_solver=0.6190 (X=0.5034, O=0.5717), elapsed=5.7s
iter   46/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=8000, value_loss=0.1872, policy_loss=0.2687, value_error_vs_solver=0.5477 (X=0.6083, O=0.6289), elapsed=7.2s
iter   47/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=8000, value_loss=0.1818, policy_loss=0.2613, value_error_vs_solver=0.5584 (X=0.5917, O=0.6115), elapsed=3.4s
iter   48/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1894, policy_loss=0.2568, value_error_vs_solver=0.5592 (X=0.5153, O=0.4878), elapsed=2.9s
iter   49/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.1782, policy_loss=0.2517, value_error_vs_solver=0.5643 (X=0.6170, O=0.5313), elapsed=4.2s
iter   50/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1712, policy_loss=0.2485, value_error_vs_solver=0.6112 (X=0.5830, O=0.5912), elapsed=3.3s
iter   51/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.1676, policy_loss=0.2442, value_error_vs_solver=0.5625 (X=0.5608, O=0.5838), elapsed=4.3s
iter   52/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer=8000, value_loss=0.1663, policy_loss=0.2389, value_error_vs_solver=0.5420 (X=0.6292, O=0.5067), elapsed=5.2s
iter   53/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1571, policy_loss=0.2387, value_error_vs_solver=0.5805 (X=0.6684, O=0.5563), elapsed=4.8s
iter   54/300: games={'X': 11, 'O': 3, 'draw': 6}, buffer=8000, value_loss=0.1578, policy_loss=0.2330, value_error_vs_solver=0.5577 (X=0.5209, O=0.5201), elapsed=7.3s
iter   55/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.1526, policy_loss=0.2309, value_error_vs_solver=0.5266 (X=0.6313, O=0.5846), elapsed=3.7s
iter   56/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1516, policy_loss=0.2286, value_error_vs_solver=0.5602 (X=0.5688, O=0.4950), elapsed=3.9s
iter   57/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1597, policy_loss=0.2261, value_error_vs_solver=0.5088 (X=0.6433, O=0.5588), elapsed=3.5s
iter   58/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.1465, policy_loss=0.2244, value_error_vs_solver=0.5645 (X=0.5192, O=0.6138), elapsed=4.0s
iter   59/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.1425, policy_loss=0.2224, value_error_vs_solver=0.5974 (X=0.6117, O=0.6268), elapsed=4.3s
iter   60/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1492, policy_loss=0.2230, value_error_vs_solver=0.5409 (X=0.5554, O=0.6291), elapsed=3.3s
iter   61/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1478, policy_loss=0.2211, value_error_vs_solver=0.5862 (X=0.5724, O=0.5512), elapsed=3.9s
iter   62/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1384, policy_loss=0.2195, value_error_vs_solver=0.5410 (X=0.5719, O=0.5269), elapsed=4.0s
iter   63/300: games={'X': 13, 'O': 4, 'draw': 3}, buffer=8000, value_loss=0.1397, policy_loss=0.2180, value_error_vs_solver=0.5703 (X=0.6107, O=0.5829), elapsed=4.4s
iter   64/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=8000, value_loss=0.1456, policy_loss=0.2170, value_error_vs_solver=0.5873 (X=0.6253, O=0.5443), elapsed=5.1s
iter   65/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.1440, policy_loss=0.2173, value_error_vs_solver=0.6132 (X=0.4856, O=0.5705), elapsed=3.7s
iter   66/300: games={'X': 14, 'O': 2, 'draw': 4}, buffer=8000, value_loss=0.1489, policy_loss=0.2157, value_error_vs_solver=0.5480 (X=0.5265, O=0.5392), elapsed=5.4s
iter   67/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1479, policy_loss=0.2149, value_error_vs_solver=0.5346 (X=0.5776, O=0.5556), elapsed=4.6s
iter   68/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1397, policy_loss=0.2138, value_error_vs_solver=0.5518 (X=0.5167, O=0.5273), elapsed=5.7s
iter   69/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1428, policy_loss=0.2140, value_error_vs_solver=0.5588 (X=0.4957, O=0.5706), elapsed=4.0s
iter   70/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer=8000, value_loss=0.1358, policy_loss=0.2128, value_error_vs_solver=0.5062 (X=0.5658, O=0.5098), elapsed=5.0s
iter   71/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer=8000, value_loss=0.1352, policy_loss=0.2117, value_error_vs_solver=0.5131 (X=0.5952, O=0.5576), elapsed=6.5s
iter   72/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer=8000, value_loss=0.1309, policy_loss=0.2103, value_error_vs_solver=0.5807 (X=0.4905, O=0.5865), elapsed=5.7s
iter   73/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1298, policy_loss=0.2101, value_error_vs_solver=0.5639 (X=0.6059, O=0.5752), elapsed=5.1s
iter   74/300: games={'X': 14, 'O': 4, 'draw': 2}, buffer=8000, value_loss=0.1435, policy_loss=0.2107, value_error_vs_solver=0.5701 (X=0.6784, O=0.7087), elapsed=5.0s
iter   75/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer=8000, value_loss=0.1372, policy_loss=0.2101, value_error_vs_solver=0.5971 (X=0.5673, O=0.5595), elapsed=5.3s
iter   76/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.1414, policy_loss=0.2108, value_error_vs_solver=0.5800 (X=0.5736, O=0.4998), elapsed=4.8s
iter   77/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.1351, policy_loss=0.2104, value_error_vs_solver=0.5985 (X=0.4905, O=0.5401), elapsed=4.2s
