Loading solver states for value-error benchmarking...
Run 'catchup_wr': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None, imitate_teacher_policy=False
iter   23/300: games={'X': 5, 'O': 8, 'draw': 7}, buffer_x=2562, buffer_o=2258, x_frozen=False, o_win_rate_rolling=0.2100, value_loss_o=0.5531, policy_loss_o=1.1357, value_error_vs_solver=0.6828 (X=0.6291, O=0.7365), elapsed=9.7s
iter   24/300: games={'X': 12, 'O': 0, 'draw': 8}, buffer_x=2700, buffer_o=2383, x_frozen=False, o_win_rate_rolling=0.1850, value_loss_o=0.5218, policy_loss_o=1.1128, value_error_vs_solver=0.6824 (X=0.6566, O=0.7082), elapsed=9.3s
iter   25/300: games={'X': 13, 'O': 2, 'draw': 5}, buffer_x=2807, buffer_o=2475, x_frozen=False, o_win_rate_rolling=0.1750, value_loss_o=0.5081, policy_loss_o=1.0967, value_error_vs_solver=0.6282 (X=0.5968, O=0.6595), elapsed=7.3s
iter   26/300: games={'X': 13, 'O': 1, 'draw': 6}, buffer_x=2916, buffer_o=2568, x_frozen=False, o_win_rate_rolling=0.1650, value_loss_o=0.4914, policy_loss_o=1.0866, value_error_vs_solver=0.6682 (X=0.6353, O=0.7012), elapsed=7.2s
iter   27/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer_x=3011, buffer_o=2644, x_frozen=True, o_win_rate_rolling=0.1400, value_loss_o=0.4753, policy_loss_o=1.0731, value_error_vs_solver=0.6599 (X=0.5827, O=0.7371), elapsed=5.3s
iter   28/300: games={'X': 12, 'O': 1, 'draw': 7}, buffer_x=3136, buffer_o=2753, x_frozen=True, o_win_rate_rolling=0.1300, value_loss_o=0.4632, policy_loss_o=1.0824, value_error_vs_solver=0.6591 (X=0.6346, O=0.6837), elapsed=7.7s
iter   29/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer_x=3244, buffer_o=2842, x_frozen=True, o_win_rate_rolling=0.1100, value_loss_o=0.4667, policy_loss_o=1.0605, value_error_vs_solver=0.6755 (X=0.6239, O=0.7271), elapsed=7.7s
iter   30/300: games={'X': 11, 'O': 2, 'draw': 7}, buffer_x=3396, buffer_o=2977, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.4363, policy_loss_o=1.0382, value_error_vs_solver=0.6879 (X=0.6389, O=0.7369), elapsed=10.7s
iter   31/300: games={'X': 14, 'O': 1, 'draw': 5}, buffer_x=3500, buffer_o=3066, x_frozen=True, o_win_rate_rolling=0.0900, value_loss_o=0.4284, policy_loss_o=1.0304, value_error_vs_solver=0.6444 (X=0.6398, O=0.6490), elapsed=6.7s
iter   32/300: games={'X': 13, 'O': 1, 'draw': 6}, buffer_x=3619, buffer_o=3168, x_frozen=True, o_win_rate_rolling=0.0800, value_loss_o=0.4153, policy_loss_o=1.0216, value_error_vs_solver=0.6425 (X=0.5831, O=0.7019), elapsed=7.2s
iter   33/300: games={'X': 12, 'O': 2, 'draw': 6}, buffer_x=3739, buffer_o=3272, x_frozen=True, o_win_rate_rolling=0.0500, value_loss_o=0.4159, policy_loss_o=1.0114, value_error_vs_solver=0.6901 (X=0.5960, O=0.7842), elapsed=8.6s
iter   34/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer_x=3865, buffer_o=3379, x_frozen=True, o_win_rate_rolling=0.0500, value_loss_o=0.3954, policy_loss_o=1.0018, value_error_vs_solver=0.6593 (X=0.5867, O=0.7319), elapsed=10.6s
iter   35/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer_x=3967, buffer_o=3463, x_frozen=True, o_win_rate_rolling=0.0450, value_loss_o=0.3942, policy_loss_o=0.9968, value_error_vs_solver=0.6283 (X=0.6251, O=0.6316), elapsed=8.3s
iter   36/300: games={'X': 13, 'O': 2, 'draw': 5}, buffer_x=4080, buffer_o=3563, x_frozen=True, o_win_rate_rolling=0.0500, value_loss_o=0.3841, policy_loss_o=0.9921, value_error_vs_solver=0.6560 (X=0.6009, O=0.7112), elapsed=9.9s
iter   37/300: games={'X': 12, 'O': 1, 'draw': 7}, buffer_x=4208, buffer_o=3676, x_frozen=True, o_win_rate_rolling=0.0550, value_loss_o=0.3749, policy_loss_o=0.9839, value_error_vs_solver=0.6116 (X=0.5849, O=0.6384), elapsed=10.3s
iter   38/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer_x=4337, buffer_o=3790, x_frozen=True, o_win_rate_rolling=0.0500, value_loss_o=0.3612, policy_loss_o=0.9686, value_error_vs_solver=0.6105 (X=0.5439, O=0.6770), elapsed=10.0s
iter   39/300: games={'X': 14, 'O': 3, 'draw': 3}, buffer_x=4433, buffer_o=3871, x_frozen=True, o_win_rate_rolling=0.0650, value_loss_o=0.3624, policy_loss_o=0.9682, value_error_vs_solver=0.6823 (X=0.6346, O=0.7299), elapsed=9.8s
iter   40/300: games={'X': 9, 'O': 2, 'draw': 9}, buffer_x=4566, buffer_o=3994, x_frozen=True, o_win_rate_rolling=0.0650, value_loss_o=0.3513, policy_loss_o=0.9593, value_error_vs_solver=0.6626 (X=0.5941, O=0.7312), elapsed=12.6s
iter   41/300: games={'X': 11, 'O': 3, 'draw': 6}, buffer_x=4692, buffer_o=4106, x_frozen=True, o_win_rate_rolling=0.0750, value_loss_o=0.3542, policy_loss_o=0.9528, value_error_vs_solver=0.5985 (X=0.5718, O=0.6252), elapsed=13.2s
iter   42/300: games={'X': 7, 'O': 3, 'draw': 10}, buffer_x=4838, buffer_o=4245, x_frozen=True, o_win_rate_rolling=0.0850, value_loss_o=0.3394, policy_loss_o=0.9389, value_error_vs_solver=0.6757 (X=0.6337, O=0.7177), elapsed=16.7s
iter   43/300: games={'X': 13, 'O': 0, 'draw': 7}, buffer_x=4978, buffer_o=4367, x_frozen=True, o_win_rate_rolling=0.0750, value_loss_o=0.3315, policy_loss_o=0.9284, value_error_vs_solver=0.6114 (X=0.5938, O=0.6289), elapsed=12.3s
iter   44/300: games={'X': 9, 'O': 3, 'draw': 8}, buffer_x=5108, buffer_o=4484, x_frozen=True, o_win_rate_rolling=0.0900, value_loss_o=0.3235, policy_loss_o=0.9126, value_error_vs_solver=0.6733 (X=0.5700, O=0.7765), elapsed=13.5s
iter   45/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer_x=5240, buffer_o=4603, x_frozen=True, o_win_rate_rolling=0.0850, value_loss_o=0.3181, policy_loss_o=0.9091, value_error_vs_solver=0.6518 (X=0.6143, O=0.6893), elapsed=11.9s
iter   46/300: games={'X': 9, 'O': 2, 'draw': 9}, buffer_x=5375, buffer_o=4727, x_frozen=True, o_win_rate_rolling=0.0850, value_loss_o=0.3122, policy_loss_o=0.8969, value_error_vs_solver=0.6331 (X=0.6167, O=0.6495), elapsed=12.9s
iter   47/300: games={'X': 10, 'O': 3, 'draw': 7}, buffer_x=5519, buffer_o=4858, x_frozen=True, o_win_rate_rolling=0.0950, value_loss_o=0.3069, policy_loss_o=0.8869, value_error_vs_solver=0.5850 (X=0.5402, O=0.6297), elapsed=13.5s
iter   48/300: games={'X': 5, 'O': 2, 'draw': 13}, buffer_x=5689, buffer_o=5020, x_frozen=True, o_win_rate_rolling=0.1050, value_loss_o=0.2988, policy_loss_o=0.8714, value_error_vs_solver=0.6332 (X=0.6207, O=0.6457), elapsed=16.2s
iter   49/300: games={'X': 7, 'O': 2, 'draw': 11}, buffer_x=5859, buffer_o=5182, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.2940, policy_loss_o=0.8564, value_error_vs_solver=0.6244 (X=0.5535, O=0.6953), elapsed=16.8s
iter   50/300: games={'X': 5, 'O': 3, 'draw': 12}, buffer_x=6019, buffer_o=5333, x_frozen=True, o_win_rate_rolling=0.1050, value_loss_o=0.2924, policy_loss_o=0.8416, value_error_vs_solver=0.5595 (X=0.5481, O=0.5709), elapsed=16.2s
iter   51/300: games={'X': 8, 'O': 2, 'draw': 10}, buffer_x=6157, buffer_o=5460, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.2855, policy_loss_o=0.8350, value_error_vs_solver=0.5988 (X=0.5715, O=0.6261), elapsed=15.5s
iter   52/300: games={'X': 7, 'O': 3, 'draw': 10}, buffer_x=6313, buffer_o=5605, x_frozen=True, o_win_rate_rolling=0.1000, value_loss_o=0.2803, policy_loss_o=0.8229, value_error_vs_solver=0.6465 (X=0.6262, O=0.6668), elapsed=21.9s
iter   53/300: games={'X': 10, 'O': 2, 'draw': 8}, buffer_x=6448, buffer_o=5727, x_frozen=True, o_win_rate_rolling=0.1100, value_loss_o=0.2781, policy_loss_o=0.8167, value_error_vs_solver=0.6146 (X=0.5939, O=0.6353), elapsed=28.9s
iter   54/300: games={'X': 11, 'O': 2, 'draw': 7}, buffer_x=6565, buffer_o=5829, x_frozen=True, o_win_rate_rolling=0.1050, value_loss_o=0.2731, policy_loss_o=0.8103, value_error_vs_solver=0.6747 (X=0.6721, O=0.6774), elapsed=18.2s
iter   55/300: games={'X': 5, 'O': 2, 'draw': 13}, buffer_x=6745, buffer_o=6002, x_frozen=True, o_win_rate_rolling=0.1150, value_loss_o=0.2719, policy_loss_o=0.7991, value_error_vs_solver=0.6243 (X=0.6252, O=0.6234), elapsed=34.3s
iter   56/300: games={'X': 5, 'O': 4, 'draw': 11}, buffer_x=6888, buffer_o=6138, x_frozen=True, o_win_rate_rolling=0.1250, value_loss_o=0.2680, policy_loss_o=0.7894, value_error_vs_solver=0.6148 (X=0.5984, O=0.6312), elapsed=19.0s
iter   57/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer_x=7000, buffer_o=6232, x_frozen=True, o_win_rate_rolling=0.1100, value_loss_o=0.2629, policy_loss_o=0.7863, value_error_vs_solver=0.6001 (X=0.6018, O=0.5985), elapsed=11.8s
iter   58/300: games={'X': 6, 'O': 5, 'draw': 9}, buffer_x=7150, buffer_o=6374, x_frozen=True, o_win_rate_rolling=0.1250, value_loss_o=0.2628, policy_loss_o=0.7787, value_error_vs_solver=0.6899 (X=0.6633, O=0.7165), elapsed=17.9s
iter   59/300: games={'X': 11, 'O': 0, 'draw': 9}, buffer_x=7288, buffer_o=6497, x_frozen=True, o_win_rate_rolling=0.1150, value_loss_o=0.2580, policy_loss_o=0.7711, value_error_vs_solver=0.6407 (X=0.6353, O=0.6460), elapsed=16.5s
iter   60/300: games={'X': 14, 'O': 3, 'draw': 3}, buffer_x=7400, buffer_o=6595, x_frozen=True, o_win_rate_rolling=0.1150, value_loss_o=0.2614, policy_loss_o=0.7691, value_error_vs_solver=0.6310 (X=0.6410, O=0.6209), elapsed=13.1s
