Loading solver states for value-error benchmarking...
Run 'twonet': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   29/300: games={'X': 9, 'O': 3, 'draw': 8}, buffer_x=2946, buffer_o=2516, value_loss=0.4208, policy_loss=1.0072, value_error_vs_solver=0.6973 (X=0.6740, O=0.7206), elapsed=11.2s
iter   30/300: games={'X': 11, 'O': 5, 'draw': 4}, buffer_x=3064, buffer_o=2622, value_loss=0.4239, policy_loss=0.9936, value_error_vs_solver=0.6861 (X=0.6048, O=0.7673), elapsed=7.4s
iter   31/300: games={'X': 10, 'O': 3, 'draw': 7}, buffer_x=3217, buffer_o=2765, value_loss=0.4205, policy_loss=0.9727, value_error_vs_solver=0.6666 (X=0.6234, O=0.7098), elapsed=11.1s
iter   32/300: games={'X': 8, 'O': 1, 'draw': 11}, buffer_x=3402, buffer_o=2939, value_loss=0.4033, policy_loss=0.9511, value_error_vs_solver=0.6546 (X=0.6101, O=0.6992), elapsed=12.3s
iter   33/300: games={'X': 4, 'O': 2, 'draw': 14}, buffer_x=3668, buffer_o=3198, value_loss=0.3863, policy_loss=0.9140, value_error_vs_solver=0.6517 (X=0.6004, O=0.7031), elapsed=20.3s
iter   34/300: games={'X': 7, 'O': 0, 'draw': 13}, buffer_x=3833, buffer_o=3352, value_loss=0.3663, policy_loss=0.8843, value_error_vs_solver=0.6605 (X=0.6252, O=0.6959), elapsed=11.1s
iter   35/300: games={'X': 9, 'O': 2, 'draw': 9}, buffer_x=3981, buffer_o=3486, value_loss=0.3559, policy_loss=0.8658, value_error_vs_solver=0.6395 (X=0.5646, O=0.7144), elapsed=10.0s
iter   36/300: games={'X': 6, 'O': 2, 'draw': 12}, buffer_x=4167, buffer_o=3664, value_loss=0.3433, policy_loss=0.8499, value_error_vs_solver=0.6350 (X=0.5890, O=0.6810), elapsed=13.5s
iter   37/300: games={'X': 4, 'O': 2, 'draw': 14}, buffer_x=4376, buffer_o=3864, value_loss=0.3299, policy_loss=0.8266, value_error_vs_solver=0.5700 (X=0.5595, O=0.5806), elapsed=14.2s
iter   38/300: games={'X': 3, 'O': 2, 'draw': 15}, buffer_x=4579, buffer_o=4060, value_loss=0.3186, policy_loss=0.8064, value_error_vs_solver=0.6091 (X=0.5539, O=0.6644), elapsed=13.7s
iter   39/300: games={'X': 4, 'O': 2, 'draw': 14}, buffer_x=4764, buffer_o=4235, value_loss=0.3097, policy_loss=0.7897, value_error_vs_solver=0.6135 (X=0.5564, O=0.6705), elapsed=14.0s
iter   40/300: games={'X': 6, 'O': 1, 'draw': 13}, buffer_x=4899, buffer_o=4354, value_loss=0.3001, policy_loss=0.7796, value_error_vs_solver=0.6005 (X=0.5838, O=0.6171), elapsed=11.0s
iter   41/300: games={'X': 5, 'O': 3, 'draw': 12}, buffer_x=5050, buffer_o=4493, value_loss=0.2969, policy_loss=0.7703, value_error_vs_solver=0.6312 (X=0.5999, O=0.6625), elapsed=11.2s
iter   42/300: games={'X': 8, 'O': 1, 'draw': 11}, buffer_x=5189, buffer_o=4617, value_loss=0.2943, policy_loss=0.7642, value_error_vs_solver=0.5756 (X=0.5311, O=0.6201), elapsed=9.6s
iter   43/300: games={'X': 10, 'O': 5, 'draw': 5}, buffer_x=5295, buffer_o=4713, value_loss=0.2920, policy_loss=0.7606, value_error_vs_solver=0.5834 (X=0.5736, O=0.5932), elapsed=6.9s
