iteration,wins_X,wins_O,draws,buffer_size,value_loss,policy_loss,value_error_vs_solver,elapsed_sec
1,10,9,1,211,0.9214694260423376,1.5753933195739414,0.7291593446629772,6.123575210571289
2,12,7,1,402,0.8633394578370807,1.600061999581651,0.8488406128231393,4.647988319396973
3,7,6,7,754,0.6784146141612006,1.554959772416896,0.7798663409842305,8.872841835021973
4,5,12,3,980,0.6518352632385641,1.5182193160688073,0.7317630898433582,5.418851852416992
5,8,7,5,1226,0.6313448914059758,1.4754774433841629,0.7734572025833372,6.204735040664673
6,13,6,1,1433,0.6360630495792652,1.4590639769765064,0.7214008896064777,4.979673862457275
7,9,8,3,1643,0.6194593956128716,1.4205433570788,0.7054054039679265,5.319264650344849
8,10,6,4,1899,0.5942118563658592,1.3809602040664841,0.6951538111997518,6.177347660064697
9,9,6,5,2127,0.554793937971808,1.368251844742277,0.7252095216008783,6.598575830459595
10,9,2,9,2408,0.47926216765712015,1.3153587651074603,0.7041792173973698,8.029161930084229
11,9,4,7,2659,0.46942761078748385,1.2729792370866724,0.6485586554718893,6.73517107963562
12,12,7,1,2814,0.45642342651666556,1.2639158623150586,0.6424164304185552,4.607672929763794
13,7,4,9,3101,0.439308860184604,1.1988202714319116,0.6712937080730579,8.223506927490234
14,11,5,4,3306,0.42357984721236236,1.1554785376247396,0.6586507877916765,6.144898891448975
15,8,4,8,3566,0.41363712653061474,1.1459223755586543,0.6706663933799226,9.218624830245972
16,14,3,3,3736,0.4076732825601168,1.1012120897780646,0.6355024576571885,4.731537342071533
17,11,6,3,3937,0.42003098712706954,1.0827938765421563,0.6415415803034538,5.548996210098267
18,11,3,6,4144,0.39689500349192597,1.0611472123952246,0.5925357942936835,6.718590259552002
19,15,0,5,4371,0.38839191500804315,1.0068772011471274,0.6207600184670657,4.88877534866333
20,13,0,7,4620,0.37078140600919296,0.997696892441144,0.6146184372562806,6.50926947593689
21,11,1,8,4909,0.3480546229293649,0.9667284181389514,0.5775948689187527,8.081984043121338
22,8,3,9,5149,0.34266824691137976,0.9430205860819434,0.6286445776292618,6.644343376159668
23,14,3,3,5329,0.3359352770333075,0.9521535943423881,0.642243009980054,4.7356038093566895
24,12,2,6,5562,0.3345333569404346,0.9396653309270845,0.6355520202925672,6.49923849105835
25,13,2,5,5815,0.33005381461019695,0.9071422293627102,0.6162807684403562,4.935165643692017
26,7,1,12,6101,0.3240403109487728,0.8998238345589836,0.5694397254430776,7.3302881717681885
27,11,1,8,6348,0.31913575307898495,0.889362249451859,0.5682092361479774,6.005791902542114
28,11,3,6,6577,0.3042211150436783,0.8711013584507475,0.5530214211123193,5.935855388641357
29,10,2,8,6840,0.2960425840659446,0.854909064452324,0.5836305100531122,7.426265478134155
30,15,2,3,7026,0.2982309101079021,0.8476221661993538,0.5721434638127288,4.834730625152588
31,13,0,7,7244,0.28635494534161715,0.8357443085684959,0.5802634826829283,5.214442729949951
32,11,3,6,7479,0.28029739932913544,0.8363716068799444,0.5924937466921645,5.610788583755493
33,9,2,9,7730,0.2888131111615424,0.829591305093275,0.6127613069657702,5.291418790817261
34,7,3,10,7984,0.2828467936196918,0.8262519345773102,0.5810788895010004,4.820403814315796
35,7,3,10,8000,0.26267791057293094,0.7932985854691496,0.5561908412954921,5.576648950576782
36,13,0,7,8000,0.25360887939650323,0.7833625991971809,0.546088893297151,4.040850400924683
37,14,2,4,8000,0.24670725726052917,0.7507581996690653,0.5273595932140434,3.907879590988159
38,17,1,2,8000,0.24109068573252418,0.7509173499032482,0.5240061977432611,3.3209280967712402
39,15,0,5,8000,0.23196772024014534,0.7245185526683798,0.5315526687649142,3.7570934295654297
40,18,0,2,8000,0.2265676715873371,0.7124273674255422,0.5416023805254034,3.2352490425109863
41,16,0,4,8000,0.20982985751648,0.6908074318453369,0.5441982416642864,3.263307809829712
