iteration,wins_X,wins_O,draws,buffer_size,value_loss,policy_loss,value_error_vs_solver,value_error_X,value_error_O,elapsed_sec,x_frozen,o_win_rate_rolling
1,9,11,0,189,1.1833859477502724,1.4316109441835136,0.6785659938056914,0.6651706164384862,0.6919613711728965,11.68307113647461,False,0.55
2,9,11,0,340,1.1357765347601816,1.2265356530712133,0.7394558345271856,0.7158068289125574,0.7631048401418137,8.332090377807617,False,0.55
3,8,11,1,526,0.986706652159795,1.0562864427695322,0.769144481024391,0.7181854398890546,0.8201035221597276,10.081129789352417,False,0.55
4,8,12,0,716,0.9854183142588641,0.9488960108106502,0.7826268988025358,0.7165873244758781,0.8486664731291934,10.93633484840393,False,0.5625
5,13,7,0,951,0.9370032476367074,0.8597517619675326,0.8172179160153196,0.7811700103787294,0.8532658216519098,12.384448289871216,False,0.52
6,13,7,0,1146,0.8831053278066208,0.8880288628040273,0.7699491250249952,0.7039809470847439,0.8359173029652467,9.0116446018219,False,0.4916666666666667
7,14,4,2,1345,0.822832264688579,0.8318310430274696,0.7943612331718498,0.7416203509677505,0.8471021153759491,9.76368761062622,False,0.45000000000000007
8,12,7,1,1530,0.7817319649738838,0.7906612992012775,0.8035037317129796,0.7072653918689511,0.899742071557008,8.578622341156006,False,0.43750000000000006
9,13,6,1,1736,0.7664578344735702,0.7606650004776677,0.7411155369087938,0.6702029024930334,0.8120281713245543,10.143484115600586,False,0.4222222222222223
10,14,5,1,1969,0.7571640705830579,0.7473085939211718,0.7466847660854621,0.614443271507865,0.878926260663059,12.289034366607666,False,0.4050000000000001
11,14,6,0,2217,0.760083568819742,0.7515439011624188,0.7074087802858575,0.6430459409748354,0.7717716195968796,11.136560678482056,False,0.38
12,12,5,3,2432,0.7307297921423278,0.7240920035985551,0.7789099065625065,0.7218692720148984,0.8359505411101145,10.599698543548584,False,0.35
13,13,6,1,2650,0.73012332154671,0.7260213550970578,0.7426054242749501,0.6796921602889181,0.8055186882609822,9.514821529388428,False,0.3249999999999999
14,11,5,4,2918,0.7105671908718629,0.7034264403961438,0.7425337314032984,0.6762288485255231,0.8088386142810736,16.176458597183228,False,0.29
15,12,4,4,3161,0.6755508510189888,0.6660460160531056,0.7194479251728241,0.6999108107492247,0.7389850395964236,9.988596200942993,False,0.275
16,15,3,2,3342,0.6550586207539926,0.649543086482041,0.7505916903135961,0.696132634687378,0.8050507459398142,6.937644958496094,False,0.255
17,11,5,4,3558,0.6398081280722525,0.6231871869289847,0.6905105020403544,0.6763421961038687,0.7046788079768401,9.264612913131714,False,0.26
18,14,3,3,3770,0.6150362043279032,0.604274140895961,0.6945419125756371,0.629384952831884,0.7596988723193903,8.560887813568115,False,0.24
19,11,4,5,4005,0.5929664161607743,0.5812197554089932,0.6992630282893987,0.6657909013121824,0.7327351552666149,8.197125673294067,False,0.23000000000000004
20,14,4,2,4159,0.5876764288282795,0.5719087959280272,0.6468148360556452,0.5765205592078715,0.7171091129034189,5.331083059310913,False,0.225
21,14,3,3,4361,0.5683352597556532,0.5588391732419851,0.6776872451683267,0.6642705243469905,0.6911039659896627,6.796330451965332,False,0.20999999999999996
22,16,3,1,4535,0.5657691344282912,0.5545788157298038,0.652428943286935,0.6016899260696144,0.7031679605042558,5.693488597869873,False,0.19999999999999996
23,5,8,7,4820,0.5794034067091987,0.5530749701564126,0.6827901701290975,0.6291208041768914,0.7364595360813037,9.667038679122925,False,0.20999999999999996
24,12,0,8,5083,0.5445975010593953,0.521789492770233,0.6823890497150176,0.656591527122985,0.7081865723070502,9.309849739074707,False,0.18499999999999997
25,13,2,5,5282,0.527699507116103,0.5081330999059701,0.6281869535819748,0.5968285575406853,0.6595453496232645,7.348978757858276,False,0.175
26,13,1,6,5484,0.5120218460350482,0.49139216896465765,0.6682246707458923,0.635284398534415,0.7011649429573696,7.195000886917114,False,0.165
27,17,0,3,5655,-1,0.47530204564846945,0.6599335226579957,0.5827199410185486,0.7371471042974428,5.293195724487305,True,0.14
28,12,1,7,5889,-1,0.46324172822953374,0.6591242642419433,0.6345618421589446,0.683686686324942,7.746802568435669,True,0.13000000000000003
29,15,0,5,6086,-1,0.4666740240930082,0.6754737671533753,0.6238813991458715,0.7270661351608791,7.666366338729858,True,0.11000000000000001
30,11,2,7,6373,-1,0.4363301011906112,0.6879050789446144,0.638908674700407,0.7369014831888219,10.692018270492554,True,0.1
31,14,1,5,6566,-1,0.4283530425325733,0.6443952519606762,0.6397997196031465,0.6489907843182058,6.726452112197876,True,0.09000000000000001
32,13,1,6,6787,-1,0.41533124861544984,0.6424882130618801,0.5831144104187205,0.7018620157050398,7.1504034996032715,True,0.08000000000000002
33,12,2,6,7011,-1,0.4158604137960926,0.6901324998535268,0.5960260497369314,0.7842389499701222,8.564502477645874,True,0.05
34,16,0,4,7244,-1,0.39544294788518514,0.6593059481319233,0.5867193171116102,0.7318925791522365,10.636995553970337,True,0.05
35,16,1,3,7430,-1,0.3942411444992433,0.628339596512188,0.6250989396570105,0.6315802533673655,8.299800395965576,True,0.045
36,13,2,5,7643,-1,0.3840728849952607,0.6560386456127623,0.6008880530643258,0.7111892381611987,9.933616876602173,True,0.05
37,12,1,7,7884,-1,0.3748613769951682,0.6116377019744885,0.5848911113993108,0.6383842925496662,10.300597190856934,True,0.05500000000000001
38,13,0,7,8127,-1,0.3612438221315164,0.610459302789055,0.5439183740595069,0.677000231518603,9.995604515075684,True,0.05000000000000001
39,14,3,3,8304,-1,0.3624131227110893,0.6822584199842523,0.6346204725392187,0.7298963674292858,9.754943609237671,True,0.06500000000000002
40,9,2,9,8560,-1,0.3513477822346114,0.6626372951957978,0.5941007536892653,0.7311738367023304,12.605665922164917,True,0.06499999999999999
41,11,3,6,8798,-1,0.35418882696195,0.5985012058165058,0.5718344870331582,0.6251679245998534,13.24047565460205,True,0.075
42,7,3,10,9083,-1,0.33938792489501063,0.6756804500320932,0.6337025308243621,0.7176583692398244,16.722334384918213,True,0.08499999999999999
43,13,0,7,9345,-1,0.33147795200349217,0.6113851937260475,0.5938473438662201,0.628923043585875,12.30340838432312,True,0.075
44,9,3,8,9592,-1,0.32347374713862537,0.6732562166473259,0.570011023970922,0.7765014093237298,13.528711080551147,True,0.09
45,11,0,9,9843,-1,0.31813924429807316,0.6518186691617049,0.6143357875739826,0.6893015507494272,11.931599140167236,True,0.085
46,9,2,9,10102,-1,0.3122291419750933,0.6330792558742968,0.6166993171438778,0.6494591946047157,12.885517835617065,True,0.085
47,10,3,7,10377,-1,0.30693887026832095,0.5849582597497585,0.5402222778587854,0.6296942416407314,13.536731243133545,True,0.095
48,5,2,13,10709,-1,0.2988245182512276,0.6331654784491599,0.620669692464095,0.6456612644342249,16.188841104507446,True,0.10500000000000001
49,7,2,11,11041,-1,0.2939623956405588,0.6243882226447552,0.5535057837640132,0.6952706615254973,16.827439069747925,True,0.1
50,5,3,12,11352,-1,0.2924140878319812,0.5594951645057835,0.5480749189821047,0.5709154100294622,16.21671223640442,True,0.10499999999999998
51,8,2,10,11617,-1,0.28550712551523266,0.5987956133526122,0.5715080110796105,0.626083215625614,15.541791915893555,True,0.1
52,7,3,10,11918,-1,0.28033865855864676,0.6464861707248665,0.6261724552737133,0.6667998861760196,21.856919288635254,True,0.1
53,10,2,8,12175,-1,0.2781002783667691,0.6145971807718902,0.5939280457811843,0.635266315762596,28.872546911239624,True,0.11000000000000001
54,11,2,7,12394,-1,0.27310430953342385,0.674713457883042,0.6720696848298296,0.6773572309362543,18.18113613128662,True,0.10500000000000001
55,5,2,13,12747,-1,0.27190810495838963,0.624321832103389,0.6252461355323604,0.6233975286744174,34.331815004348755,True,0.11500000000000002
56,5,4,11,13026,-1,0.2679892007874524,0.6148396913906633,0.5984300505520483,0.6312493322292784,18.956623315811157,True,0.125
57,17,0,3,13232,-1,0.2628556485402223,0.6001098876395539,0.6017602832177903,0.5984594920613174,11.788497686386108,True,0.10999999999999999
58,6,5,9,13524,-1,0.26277638407537585,0.6899264400485323,0.6633309100317636,0.716521970065301,17.935420274734497,True,0.125
59,11,0,9,13785,-1,0.25804218501958753,0.6406529936910745,0.6352670274670389,0.6460389599151103,16.465059995651245,True,0.11499999999999999
60,14,3,3,13995,-1,0.2613891276055548,0.630951873010033,0.6409685284603174,0.6209352175597486,13.10417652130127,True,0.11499999999999999
61,14,1,5,14226,-1,0.26427000095870273,0.6263820178727106,0.5941041164213701,0.6586599193240511,14.665194511413574,True,0.10999999999999999
62,7,2,11,14529,-1,0.2533314600595073,0.6087791119374193,0.6173813375953828,0.6001768862794559,18.723503828048706,True,0.10500000000000001
